place,type,address,시군구명,동명
역삼e-편한세상 108동 놀이터,주택단지,서울특별시 강남구 선릉로69길 20 (역삼동),강남구,역삼동
역삼e-편한세상 106동 놀이터,주택단지,서울특별시 강남구 선릉로69길 20 (역삼동),강남구,역삼동
역삼e-편한세상 어린이 놀이시설,주택단지,서울특별시 강남구 선릉로69길 20 (역삼동),강남구,역삼동
청담대우유로카운티 놀이시설 101동,주택단지,서울특별시 강남구 도산대로92길 10 (청담동),강남구,청담동
삼부아그레빌,주택단지,서울특별시 강남구 영동대로114길 63 (삼성동),강남구,삼성동
논현 e-편한세상,주택단지,서울특별시 강남구 봉은사로11길 12 (논현동),강남구,논현동
청담2차e편한세상,주택단지,서울특별시 강남구 도산대로70길 25 (청담동),강남구,청담동
강남그린웨이-천산마당,도시공원,서울 강남구 개포동1267-1번지,강남구,개포동
대치 sk뷰 102동 앞 어린이 놀이터,주택단지,"서울특별시 강남구 삼성로51길 25 (대치동, 대치SK-VIEW아파트)",강남구,대치동
도곡삼성래미안 햇님(8동앞),주택단지,서울특별시 강남구 남부순환로 2803 (도곡동),강남구,도곡동
도곡삼성래미안 달님(2동옆),주택단지,서울특별시 강남구 남부순환로 2803 (도곡동),강남구,도곡동
역삼한스빌아파트,주택단지,서울특별시 강남구 도곡로3길 26 (역삼동),강남구,역삼동
삼성동롯데아파트놀이터,주택단지,서울특별시 강남구 학동로 432 (삼성동),강남구,삼성동
롯데캐슬노블,주택단지,서울특별시 강남구 도곡로13길 19 (역삼동),강남구,역삼동
청담파라곤,주택단지,서울특별시 강남구 학동로97길 31 (청담동),강남구,청담동
타워팰리스 2차 야외놀이터,주택단지,서울특별시 강남구 언주로30길 57 (도곡동),강남구,도곡동
이베이코리아어린이집 놀이터,어린이집,서울특별시 강남구 테헤란로25길 55 (역삼동),강남구,역삼동
언북어린이집 놀이터(실외2),어린이집,서울특별시 강남구 삼성로135길 42 (청담동),강남구,청담동
한티어린이집 실내놀이터,어린이집,서울특별시 강남구 영동대로57길 7 (대치동),강남구,대치동
래미안 도곡카운티 109동놀이터,주택단지,"서울특별시 강남구 도곡로 320, 래미안도곡카운티 (도곡동)",강남구,도곡동
래미안 도곡카운티 101동놀이터,주택단지,"서울특별시 강남구 도곡로 320, 래미안도곡카운티 (도곡동)",강남구,도곡동
역삼동 마을마당,도시공원,서울특별시 강남구 도곡로21길 7 (역삼동),강남구,역삼동
독골근린공원,도시공원,서울특별시 강남구 남부순환로378길 29 (도곡동),강남구,도곡동
윗반고개공원,도시공원,서울 강남구 세곡동102-8 외 11필지,강남구,세곡동
압구정목련공원,도시공원,서울특별시 강남구 압구정로39길 58 (압구정동),강남구,율현동
신사개나리공원,도시공원,서울 강남구 신사동609-2,강남구,신사동
신사까치공원,도시공원,서울 강남구 신사동597,강남구,신사동
신사목련공원,도시공원,서울 강남구 신사동567-37,강남구,신사동
논현개나리공원,도시공원,서울특별시 강남구 논현로123길 19 (논현동),강남구,논현동
논현은행나무공원,도시공원,서울 강남구 논현동47-13,강남구,논현동
서울세명유치원,유치원,"서울특별시 강남구 자곡로 55(세곡동, 세명초등학교)",강남구,세곡동
신현대아파트 105동 앞 놀이터,주택단지,서울특별시 강남구 압구정로 151 (압구정동),강남구,압구정동
서울정애학교,학교,서울특별시 강남구 봉은사로81길 16 (삼성동),강남구,삼성동
선릉삼성어린이집,어린이집,서울특별시 강남구 선릉로100길 48 (삼성동),강남구,삼성동
강남구청직장어린이집,어린이집,서울특별시 강남구 학동로 426 (삼성동),강남구,삼성동
래미안삼성1차아파트 502동 앞,주택단지,서울특별시 강남구 영동대로114길 56 (삼성동),강남구,삼성동
